"source","listing_no","url","writer_type","agency","region_depth1","region_depth2","region_depth3","address","latitude","longitude","title","deposit_manwon","rent_manwon","maintenance_manwon","total_monthly_manwon","room_type","room_count","area_m2","floor","approval_date","image_1","image_2","crawl_note"
"daangn","3473734","https://realty.daangn.com/articles/3473734","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.265649466605986","127.04759073944001","투룸이상 2,000만원/75만원 - 매원중학교 근처","2000","75","15","90","TWO_ROOM","","48.00","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3473734/01KQRHKK1J9X3WV3CCNYZDV464.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3473734/01KQRHKK8JF1VQYHVS74B77D0R.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3582952","https://realty.daangn.com/articles/3582952","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.265649466605986","127.04759073944001","투룸이상 2,000만원/75만원 - 매탄공원 인근","2000","75","15","90","TWO_ROOM","","59.50","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3582952/01KRZ1S3GPA3BPCYYY2JX176GB.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3582952/01KRZ1S3THXK571QX4CTT9X5SZ.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3580031","https://realty.daangn.com/articles/3580031","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.265649466605986","127.04759073944001","투룸이상 2,000만원/75만원 - 대형투룸 HH 풀옵션 매탄공원 인근","2000","75","15","90","TWO_ROOM","","49.22","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3580031/01KRX7XJST9TYBY1N6SMQNQAY0.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3580031/01KRX7XK8435H6JV2QA5K2HZZF.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3577025","https://realty.daangn.com/articles/3577025","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.273972576351014","127.08949179853","투룸이상 3,000만원/80만원 - 흥덕마을 13단지 사거리 쪽, 페가수스 공원 인근","3000","80","10","90","TWO_ROOM","","49.58","3.0","2015-10-31","","",""
"daangn","3576193","https://realty.daangn.com/articles/3576193","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.272539214994985","127.04901124125","투룸이상 5,000만원/80만원 - 법원사거리 인근 주택가 위치","5000","80","10","90","TWO_ROOM","","46.28","3.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3576193/01KRWSC579KW1MAKAANHJVYPPY.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3576193/01KRWSC5EHESM66WS701EHH8X2.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3581638","https://realty.daangn.com/articles/3581638","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.271550238591004","127.04719815677","투룸이상 3,000만원/80만원 - 아주대학교 인근","3000","80","11","91","TWO_ROOM","","50.45","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3581638/01KRYTB1PT30C57883CZD0PMKD.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3581638/01KRYTB2BZD6TERTT1FT92DPJ9.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3577178","https://realty.daangn.com/articles/3577178","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.271550238591004","127.04719815677","투룸이상 3,000만원/80만원 - 법원사거리 인근 주택가 위치","3000","80","11","91","TWO_ROOM","","46.28","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3577178/01KRWWTYQQ6ACP33X3339CZJDK.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3577178/01KRWWTZ19S9X03P1TZBJQ4YTX.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3587847","https://realty.daangn.com/articles/3587847","DIRECT_USER","전직 경찰 출신 중개사, 신뢰의 포돌이 부동산입니다","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.26047335682599","127.06262051404002","분리형 원룸 1,000만원/90만원 - 경기도 수원시 영통구","1000","90","10","100","SPLIT_ONE_ROOM","","40.00","4.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3587847/01KRZM470YE70NWSCRM00RHHZ5.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3587847/01KRZM476CATMA9SXQ0Y91CRQY.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3587636","https://realty.daangn.com/articles/3587636","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.274125905061005","127.05250986744","투룸이상 4,000만원/90만원 - 광교 가람마을  쓰리룸","4000","90","10","100","TWO_ROOM","","65.00","3.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3587636/01KS04BJRDP7FF2PPPATC0PH40.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3587636/01KS04BK1H97XBGGERA6R74MH6.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3339152","https://realty.daangn.com/articles/3339152","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.260649412456004","127.0620166624","투룸이상 2,000만원/100만원 - 경기도 수원시 영통구","2000","100","15","115","TWO_ROOM","","49.59","3.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3339152/01KQBVE37JZXY8GGG77NQP8H7A.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3339152/01KQBVE3DD9QSQ0QX1HX8KS75G.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3194218","https://realty.daangn.com/articles/3194218","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.27940058326201","127.03127614891","투룸이상 5,000만원/100만원 - 성빈센트도보5분","5000","100","15","115","TWO_ROOM","","36.36","4.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3194218/01KMPFZYP9DTRDSR62ZWE9NYJN.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3194218/01KMPFZYX676NH3SB81CTWDRQX.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3509183","https://realty.daangn.com/articles/3509183","DIRECT_USER","","경기도","수원시 영통구","원천동","부산광역시 기장군 정관읍 달산2길 4-3","37.26121712141799","127.06156069333","투룸이상 1,000만원/100만원 - 영통역자차10분","1000","100","15","115","TWO_ROOM","","45.00","4.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3509183/01KR3DJG4R1DA1HSSPXZCXXSHW.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3509183/01KR3DJGCD653SMNHPQ7DH9Y7H.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3582516","https://realty.daangn.com/articles/3582516","DIRECT_USER","","경기도","수원시 팔달구","인계동","부산광역시 기장군 정관읍 달산2길 4-3","37.266010248395006","127.02954319583","오피스텔 1억 2,600만원/5만원 - 수원시청역 도보 5분 이내","12600","5","15","20","OFFICETEL","","35.34","2.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3582516/01KRYZTJ40Y6X6YDYA09YJF9Q1.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3582516/01KRYZTJN6771Y7T12MZAHF76J.png?q=95&s=1440x1440&t=inside&service=realty",""
"daangn","3559107","https://realty.daangn.com/articles/3559107","DIRECT_USER","","경기도","수원시 팔달구","인계동","부산광역시 기장군 정관읍 달산2길 4-3","37.266973562337","127.03052382976","오픈형 원룸 9,360만원/10만원 - 수원시청역 도보 7분","9360","10","10","20","OPEN_ONE_ROOM","","17.19","6.0","2015-10-31","https://img.kr.gcp-karroter.net/realty/article/3559107/01KRN2YTWKYEY19DQ9A86Z3AVJ.png?q=95&s=1440x1440&t=inside&service=realty","https://img.kr.gcp-karroter.net/realty/article/3559107/01KRN2YV5SASTHERSP6NPSBG5G.png?q=95&s=1440x1440&t=inside&service=realty",""
